env,label,metric,phase,point,run_dir,update,value
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,52,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,500,0.23328930139541626
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,53,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,750,0.2519318759441376
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,54,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1000,0.24285408854484558
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,55,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1250,0.19602756202220917
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,56,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1500,0.23427273333072662
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,57,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1750,0.19949299097061157
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,58,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2000,0.23223641514778137
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,59,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2250,0.1986582726240158
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,60,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2500,0.18767206370830536
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,61,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2750,0.15552747249603271
reacher,reacher_seed0,model/total_loss,online_001_candidate_world_model,62,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3000,0.2313215434551239
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,63,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1,0.17731787264347076
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,64,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,250,0.23720499873161316
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,65,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,500,0.1987612247467041
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,66,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,750,0.20481392741203308
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,67,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1000,0.18071353435516357
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,68,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1250,0.22686244547367096
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,69,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1500,0.2662148177623749
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,70,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1750,0.21423883736133575
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,71,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2000,0.19482146203517914
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,72,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2250,0.17319591343402863
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,73,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2500,0.19868069887161255
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,74,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2750,0.19898483157157898
reacher,reacher_seed0,model/total_loss,online_002_candidate_world_model,75,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3000,0.20561042428016663
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,76,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1,0.17266935110092163
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,77,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,250,0.1645345836877823
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,78,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,500,0.16185273230075836
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,79,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,750,0.17454694211483002
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,80,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1000,0.17566946148872375
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,81,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1250,0.20978330075740814
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,82,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1500,0.17737266421318054
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,83,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1750,0.1830293983221054
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,84,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2000,0.19334711134433746
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,85,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2250,0.15824954211711884
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,86,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2500,0.17627249658107758
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,87,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2750,0.13338927924633026
reacher,reacher_seed0,model/total_loss,online_003_candidate_world_model,88,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3000,0.17406362295150757
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,89,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1,0.15215668082237244
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,90,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,250,0.2228393256664276
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,91,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,500,0.17937220633029938
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,92,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,750,0.18989847600460052
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,93,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1000,0.1825256496667862
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,94,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1250,0.18431128561496735
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,95,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1500,0.17136135697364807
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,96,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1750,0.19679532945156097
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,97,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2000,0.17670689523220062
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,98,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2250,0.1685449630022049
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,99,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2500,0.1770048588514328
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,100,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2750,0.18402890861034393
reacher,reacher_seed0,model/total_loss,online_004_candidate_world_model,101,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3000,0.17964515089988708
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,102,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1,0.1638588011264801
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,103,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,250,0.19522231817245483
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,104,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,500,0.19858281314373016
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,105,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,750,0.20543400943279266
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,106,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1000,0.2187996804714203
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,107,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1250,0.1592801809310913
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,108,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1500,0.26249152421951294
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,109,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1750,0.20418667793273926
